id,id_1,asset,year,rep_period,time_block_start,time_block_end,dual_sd_ramp_vars_flow_diff
317,317,BE_Coal,2030,3,17,20,0.0
318,318,BE_Coal,2030,3,21,24,0.0
319,319,BE_Coal,2030,4,1,4,0.0
320,320,BE_Coal,2030,4,5,8,0.0
321,321,BE_Coal,2030,4,9,12,0.0
322,322,BE_Coal,2030,4,13,16,0.0
323,323,BE_Coal,2030,4,17,20,0.0
324,324,BE_Coal,2030,4,21,24,0.0
325,325,BE_Coal,2030,5,1,4,0.0
326,326,BE_Coal,2030,5,5,8,0.0
327,327,BE_Coal,2030,5,9,12,0.0
328,328,BE_Coal,2030,5,13,16,0.0
329,329,BE_Coal,2030,5,17,20,0.0
330,330,BE_Coal,2030,5,21,24,0.0
331,331,BE_Coal,2030,6,1,4,0.0
332,332,BE_Coal,2030,6,5,8,0.0
333,333,BE_Coal,2030,6,9,12,0.0
334,334,BE_Coal,2030,6,13,16,0.0
335,335,BE_Coal,2030,6,17,20,0.0
336,336,BE_Coal,2030,6,21,24,0.0
337,337,BE_Coal,2030,7,1,4,0.0
338,338,BE_Coal,2030,7,5,8,0.0
339,339,BE_Coal,2030,7,9,12,0.0
340,340,BE_Coal,2030,7,13,16,0.0
341,341,BE_Coal,2030,7,17,20,0.0
342,342,BE_Coal,2030,7,21,24,0.0
343,343,BE_Coal,2030,8,1,4,0.0
344,344,BE_Coal,2030,8,5,8,0.0
345,345,BE_Coal,2030,8,9,12,0.0
346,346,BE_Coal,2030,8,13,16,0.0
347,347,BE_Coal,2030,8,17,20,0.0
348,348,BE_Coal,2030,8,21,24,0.0
349,349,BE_Coal,2030,9,1,4,0.0
350,350,BE_Coal,2030,9,5,8,0.0
351,351,BE_Coal,2030,9,9,12,0.0
352,352,BE_Coal,2030,9,13,16,0.0
353,353,BE_Coal,2030,9,17,20,0.0
354,354,BE_Coal,2030,9,21,24,0.0
355,355,BE_Coal,2030,10,1,4,0.0
356,356,BE_Coal,2030,10,5,8,0.0
357,357,BE_Coal,2030,10,9,12,0.0
358,358,BE_Coal,2030,10,13,16,0.0
359,359,BE_Coal,2030,10,17,20,0.0
360,360,BE_Coal,2030,10,21,24,0.0
361,361,BE_Nuclear,2030,1,1,4,0.0
362,362,BE_Nuclear,2030,1,5,8,0.0
363,363,BE_Nuclear,2030,1,9,12,0.0
364,364,BE_Nuclear,2030,1,13,16,0.0
365,365,BE_Nuclear,2030,1,17,20,0.0
366,366,BE_Nuclear,2030,1,21,24,0.0
367,367,BE_Nuclear,2030,2,1,4,0.0
368,368,BE_Nuclear,2030,2,5,8,0.0
369,369,BE_Nuclear,2030,2,9,12,0.0
370,370,BE_Nuclear,2030,2,13,16,0.0
371,371,BE_Nuclear,2030,2,17,20,0.0
372,372,BE_Nuclear,2030,2,21,24,0.0
373,373,BE_Nuclear,2030,3,1,4,0.0
374,374,BE_Nuclear,2030,3,5,8,0.0
375,375,BE_Nuclear,2030,3,9,12,0.0
376,376,BE_Nuclear,2030,3,13,16,0.0
377,377,BE_Nuclear,2030,3,17,20,0.0
378,378,BE_Nuclear,2030,3,21,24,0.0
379,379,BE_Nuclear,2030,4,1,4,0.0
380,380,BE_Nuclear,2030,4,5,8,0.0
381,381,BE_Nuclear,2030,4,9,12,0.0
382,382,BE_Nuclear,2030,4,13,16,0.0
383,383,BE_Nuclear,2030,4,17,20,0.0
384,384,BE_Nuclear,2030,4,21,24,0.0
385,385,BE_Nuclear,2030,5,1,4,0.0
386,386,BE_Nuclear,2030,5,5,8,0.0
387,387,BE_Nuclear,2030,5,9,12,0.0
388,388,BE_Nuclear,2030,5,13,16,0.0
389,389,BE_Nuclear,2030,5,17,20,0.0
390,390,BE_Nuclear,2030,5,21,24,0.0
391,391,BE_Nuclear,2030,6,1,4,0.0
392,392,BE_Nuclear,2030,6,5,8,0.0
393,393,BE_Nuclear,2030,6,9,12,0.0
394,394,BE_Nuclear,2030,6,13,16,0.0
395,395,BE_Nuclear,2030,6,17,20,0.0
396,396,BE_Nuclear,2030,6,21,24,0.0
397,397,BE_Nuclear,2030,7,1,4,0.0
398,398,BE_Nuclear,2030,7,5,8,0.0
399,399,BE_Nuclear,2030,7,9,12,0.0
400,400,BE_Nuclear,2030,7,13,16,0.0
401,401,BE_Nuclear,2030,7,17,20,0.0
402,402,BE_Nuclear,2030,7,21,24,0.0
403,403,BE_Nuclear,2030,8,1,4,0.0
404,404,BE_Nuclear,2030,8,5,8,0.0
405,405,BE_Nuclear,2030,8,9,12,0.0
406,406,BE_Nuclear,2030,8,13,16,0.0
407,407,BE_Nuclear,2030,8,17,20,0.0
408,408,BE_Nuclear,2030,8,21,24,0.0
409,409,BE_Nuclear,2030,9,1,4,0.0
410,410,BE_Nuclear,2030,9,5,8,0.0
411,411,BE_Nuclear,2030,9,9,12,0.0
412,412,BE_Nuclear,2030,9,13,16,0.0
413,413,BE_Nuclear,2030,9,17,20,0.0
414,414,BE_Nuclear,2030,9,21,24,0.0
415,415,BE_Nuclear,2030,10,1,4,0.0
416,416,BE_Nuclear,2030,10,5,8,0.0
417,417,BE_Nuclear,2030,10,9,12,0.0
418,418,BE_Nuclear,2030,10,13,16,0.0
419,419,BE_Nuclear,2030,10,17,20,0.0
420,420,BE_Nuclear,2030,10,21,24,0.0
421,421,BE_OCGT,2030,1,1,4,0.0
422,422,BE_OCGT,2030,1,5,8,0.0
423,423,BE_OCGT,2030,1,9,12,0.0
424,424,BE_OCGT,2030,1,13,16,0.0
425,425,BE_OCGT,2030,1,17,20,0.0
426,426,BE_OCGT,2030,1,21,24,0.0
427,427,BE_OCGT,2030,2,1,4,0.0
428,428,BE_OCGT,2030,2,5,8,0.0
429,429,BE_OCGT,2030,2,9,12,0.0
430,430,BE_OCGT,2030,2,13,16,0.0
431,431,BE_OCGT,2030,2,17,20,0.0
432,432,BE_OCGT,2030,2,21,24,0.0
433,433,BE_OCGT,2030,3,1,4,0.0
434,434,BE_OCGT,2030,3,5,8,0.0
435,435,BE_OCGT,2030,3,9,12,0.0
436,436,BE_OCGT,2030,3,13,16,0.0
437,437,BE_OCGT,2030,3,17,20,0.0
438,438,BE_OCGT,2030,3,21,24,0.0
439,439,BE_OCGT,2030,4,1,4,0.0
440,440,BE_OCGT,2030,4,5,8,0.0
441,441,BE_OCGT,2030,4,9,12,0.0
442,442,BE_OCGT,2030,4,13,16,0.0
443,443,BE_OCGT,2030,4,17,20,0.0
444,444,BE_OCGT,2030,4,21,24,0.0
445,445,BE_OCGT,2030,5,1,4,0.0
446,446,BE_OCGT,2030,5,5,8,0.0
447,447,BE_OCGT,2030,5,9,12,0.0
448,448,BE_OCGT,2030,5,13,16,0.0
449,449,BE_OCGT,2030,5,17,20,0.0
450,450,BE_OCGT,2030,5,21,24,0.0
451,451,BE_OCGT,2030,6,1,4,0.0
452,452,BE_OCGT,2030,6,5,8,0.0
453,453,BE_OCGT,2030,6,9,12,0.0
454,454,BE_OCGT,2030,6,13,16,0.0
455,455,BE_OCGT,2030,6,17,20,0.0
456,456,BE_OCGT,2030,6,21,24,0.0
457,457,BE_OCGT,2030,7,1,4,0.0
458,458,BE_OCGT,2030,7,5,8,0.0
459,459,BE_OCGT,2030,7,9,12,0.0
460,460,BE_OCGT,2030,7,13,16,0.0
461,461,BE_OCGT,2030,7,17,20,0.0
462,462,BE_OCGT,2030,7,21,24,0.0
463,463,BE_OCGT,2030,8,1,4,0.0
464,464,BE_OCGT,2030,8,5,8,0.0
465,465,BE_OCGT,2030,8,9,12,0.0
466,466,BE_OCGT,2030,8,13,16,0.0
467,467,BE_OCGT,2030,8,17,20,0.0
468,468,BE_OCGT,2030,8,21,24,0.0
469,469,BE_OCGT,2030,9,1,4,0.0
470,470,BE_OCGT,2030,9,5,8,0.0
471,471,BE_OCGT,2030,9,9,12,0.0
472,472,BE_OCGT,2030,9,13,16,0.0
473,473,BE_OCGT,2030,9,17,20,0.0
474,474,BE_OCGT,2030,9,21,24,0.0
475,475,BE_OCGT,2030,10,1,4,0.0
476,476,BE_OCGT,2030,10,5,8,0.0
477,477,BE_OCGT,2030,10,9,12,0.0
478,478,BE_OCGT,2030,10,13,16,0.0
479,479,BE_OCGT,2030,10,17,20,0.0
480,480,BE_OCGT,2030,10,21,24,0.0
481,481,CH_CCGT,2030,1,1,4,0.0
482,482,CH_CCGT,2030,1,5,8,0.0
483,483,CH_CCGT,2030,1,9,12,0.0
484,484,CH_CCGT,2030,1,13,16,0.0
485,485,CH_CCGT,2030,1,17,20,0.0
486,486,CH_CCGT,2030,1,21,24,0.0
487,487,CH_CCGT,2030,2,1,4,0.0
488,488,CH_CCGT,2030,2,5,8,0.0
489,489,CH_CCGT,2030,2,9,12,0.0
490,490,CH_CCGT,2030,2,13,16,0.0
491,491,CH_CCGT,2030,2,17,20,0.0
492,492,CH_CCGT,2030,2,21,24,0.0
493,493,CH_CCGT,2030,3,1,4,0.0
494,494,CH_CCGT,2030,3,5,8,0.0
495,495,CH_CCGT,2030,3,9,12,0.0
496,496,CH_CCGT,2030,3,13,16,0.0
497,497,CH_CCGT,2030,3,17,20,0.0
498,498,CH_CCGT,2030,3,21,24,0.0
499,499,CH_CCGT,2030,4,1,4,0.0
500,500,CH_CCGT,2030,4,5,8,0.0
501,501,CH_CCGT,2030,4,9,12,0.0
502,502,CH_CCGT,2030,4,13,16,0.0
503,503,CH_CCGT,2030,4,17,20,0.0
504,504,CH_CCGT,2030,4,21,24,0.0
505,505,CH_CCGT,2030,5,1,4,0.0
506,506,CH_CCGT,2030,5,5,8,0.0
507,507,CH_CCGT,2030,5,9,12,0.0
508,508,CH_CCGT,2030,5,13,16,0.0
509,509,CH_CCGT,2030,5,17,20,0.0
510,510,CH_CCGT,2030,5,21,24,0.0
511,511,CH_CCGT,2030,6,1,4,0.0
512,512,CH_CCGT,2030,6,5,8,0.0
513,513,CH_CCGT,2030,6,9,12,0.0
514,514,CH_CCGT,2030,6,13,16,0.0
515,515,CH_CCGT,2030,6,17,20,0.0
516,516,CH_CCGT,2030,6,21,24,0.0
517,517,CH_CCGT,2030,7,1,4,0.0
518,518,CH_CCGT,2030,7,5,8,0.0
519,519,CH_CCGT,2030,7,9,12,0.0
520,520,CH_CCGT,2030,7,13,16,0.0
521,521,CH_CCGT,2030,7,17,20,0.0
522,522,CH_CCGT,2030,7,21,24,0.0
523,523,CH_CCGT,2030,8,1,4,0.0
524,524,CH_CCGT,2030,8,5,8,0.0
525,525,CH_CCGT,2030,8,9,12,0.0
526,526,CH_CCGT,2030,8,13,16,0.0
527,527,CH_CCGT,2030,8,17,20,0.0
528,528,CH_CCGT,2030,8,21,24,0.0
529,529,CH_CCGT,2030,9,1,4,0.0
530,530,CH_CCGT,2030,9,5,8,0.0
531,531,CH_CCGT,2030,9,9,12,0.0
532,532,CH_CCGT,2030,9,13,16,0.0
533,533,CH_CCGT,2030,9,17,20,0.0
534,534,CH_CCGT,2030,9,21,24,0.0
535,535,CH_CCGT,2030,10,1,4,0.0
536,536,CH_CCGT,2030,10,5,8,0.0
537,537,CH_CCGT,2030,10,9,12,0.0
538,538,CH_CCGT,2030,10,13,16,0.0
539,539,CH_CCGT,2030,10,17,20,0.0
540,540,CH_CCGT,2030,10,21,24,0.0
541,541,CH_Coal,2030,1,1,4,0.0
542,542,CH_Coal,2030,1,5,8,0.0
543,543,CH_Coal,2030,1,9,12,0.0
544,544,CH_Coal,2030,1,13,16,0.0
545,545,CH_Coal,2030,1,17,20,0.0
546,546,CH_Coal,2030,1,21,24,0.0
547,547,CH_Coal,2030,2,1,4,0.0
548,548,CH_Coal,2030,2,5,8,0.0
549,549,CH_Coal,2030,2,9,12,0.0
550,550,CH_Coal,2030,2,13,16,0.0
551,551,CH_Coal,2030,2,17,20,0.0
552,552,CH_Coal,2030,2,21,24,0.0
