id,asset,year,rep_period,time_block_start,time_block_end,dual_start_up_upper_bound
526,CH_CCGT,2030,8,13,16,0.0
527,CH_CCGT,2030,8,17,20,0.0
528,CH_CCGT,2030,8,21,24,0.0
529,CH_CCGT,2030,9,1,4,0.0
530,CH_CCGT,2030,9,5,8,0.0
531,CH_CCGT,2030,9,9,12,0.0
532,CH_CCGT,2030,9,13,16,0.0
533,CH_CCGT,2030,9,17,20,0.0
534,CH_CCGT,2030,9,21,24,0.0
535,CH_CCGT,2030,10,1,4,0.0
536,CH_CCGT,2030,10,5,8,0.0
537,CH_CCGT,2030,10,9,12,0.0
538,CH_CCGT,2030,10,13,16,0.0
539,CH_CCGT,2030,10,17,20,0.0
540,CH_CCGT,2030,10,21,24,0.0
541,CH_Coal,2030,1,1,4,0.0
542,CH_Coal,2030,1,5,8,0.0
543,CH_Coal,2030,1,9,12,0.0
544,CH_Coal,2030,1,13,16,0.0
545,CH_Coal,2030,1,17,20,0.0
546,CH_Coal,2030,1,21,24,0.0
547,CH_Coal,2030,2,1,4,0.0
548,CH_Coal,2030,2,5,8,0.0
549,CH_Coal,2030,2,9,12,0.0
550,CH_Coal,2030,2,13,16,0.0
551,CH_Coal,2030,2,17,20,0.0
552,CH_Coal,2030,2,21,24,0.0
553,CH_Coal,2030,3,1,4,0.0
554,CH_Coal,2030,3,5,8,0.0
555,CH_Coal,2030,3,9,12,0.0
556,CH_Coal,2030,3,13,16,0.0
557,CH_Coal,2030,3,17,20,0.0
558,CH_Coal,2030,3,21,24,0.0
559,CH_Coal,2030,4,1,4,0.0
560,CH_Coal,2030,4,5,8,0.0
561,CH_Coal,2030,4,9,12,0.0
562,CH_Coal,2030,4,13,16,0.0
563,CH_Coal,2030,4,17,20,0.0
564,CH_Coal,2030,4,21,24,0.0
565,CH_Coal,2030,5,1,4,0.0
566,CH_Coal,2030,5,5,8,0.0
567,CH_Coal,2030,5,9,12,0.0
568,CH_Coal,2030,5,13,16,0.0
569,CH_Coal,2030,5,17,20,0.0
570,CH_Coal,2030,5,21,24,0.0
571,CH_Coal,2030,6,1,4,0.0
572,CH_Coal,2030,6,5,8,0.0
573,CH_Coal,2030,6,9,12,0.0
574,CH_Coal,2030,6,13,16,0.0
575,CH_Coal,2030,6,17,20,0.0
576,CH_Coal,2030,6,21,24,0.0
577,CH_Coal,2030,7,1,4,0.0
578,CH_Coal,2030,7,5,8,0.0
579,CH_Coal,2030,7,9,12,0.0
580,CH_Coal,2030,7,13,16,0.0
581,CH_Coal,2030,7,17,20,0.0
582,CH_Coal,2030,7,21,24,0.0
583,CH_Coal,2030,8,1,4,0.0
584,CH_Coal,2030,8,5,8,0.0
585,CH_Coal,2030,8,9,12,0.0
586,CH_Coal,2030,8,13,16,0.0
587,CH_Coal,2030,8,17,20,0.0
588,CH_Coal,2030,8,21,24,0.0
589,CH_Coal,2030,9,1,4,0.0
590,CH_Coal,2030,9,5,8,0.0
591,CH_Coal,2030,9,9,12,0.0
592,CH_Coal,2030,9,13,16,0.0
593,CH_Coal,2030,9,17,20,0.0
594,CH_Coal,2030,9,21,24,0.0
595,CH_Coal,2030,10,1,4,0.0
596,CH_Coal,2030,10,5,8,0.0
