id,asset,year,rep_period,time_block_start,time_block_end,dual_max_output_flows_limit_simple_method
540,AT_Coal,2030,3,12,12,-0.4437000000000001
541,AT_Coal,2030,3,13,13,-0.4437000000000001
542,AT_Coal,2030,3,14,14,-0.4437000000000001
543,AT_Coal,2030,3,15,15,-0.4437000000000001
544,AT_Coal,2030,3,16,16,-0.9656999999999999
545,AT_Coal,2030,3,17,17,-4.799465705666335
546,AT_Coal,2030,3,18,18,-17.384731411332673
547,AT_Coal,2030,3,19,19,-4.799465705666335
548,AT_Coal,2030,3,20,20,-0.9656999999999999
549,AT_Coal,2030,3,21,21,-0.9656999999999999
550,AT_Coal,2030,3,22,22,-0.9656999999999999
551,AT_Coal,2030,3,23,23,-0.9656999999999999
552,AT_Coal,2030,3,24,24,-0.9656999999999999
553,AT_Coal,2030,4,1,1,0.0
554,AT_Coal,2030,4,2,2,0.0
555,AT_Coal,2030,4,3,3,0.0
556,AT_Coal,2030,4,4,4,0.0
557,AT_Coal,2030,4,5,5,0.0
558,AT_Coal,2030,4,6,6,0.0
559,AT_Coal,2030,4,7,7,0.0
560,AT_Coal,2030,4,8,8,0.0
561,AT_Coal,2030,4,9,9,0.0
562,AT_Coal,2030,4,10,10,0.0
563,AT_Coal,2030,4,11,11,0.0
564,AT_Coal,2030,4,12,12,0.0
565,AT_Coal,2030,4,13,13,0.0
566,AT_Coal,2030,4,14,14,0.0
567,AT_Coal,2030,4,15,15,0.0
568,AT_Coal,2030,4,16,16,0.0
569,AT_Coal,2030,4,17,17,0.0
570,AT_Coal,2030,4,18,18,-0.3671999999999983
571,AT_Coal,2030,4,19,19,0.0
572,AT_Coal,2030,4,20,20,0.0
573,AT_Coal,2030,4,21,21,0.0
574,AT_Coal,2030,4,22,22,0.0
575,AT_Coal,2030,4,23,23,0.0
576,AT_Coal,2030,4,24,24,0.0
577,AT_Coal,2030,5,1,1,0.0
578,AT_Coal,2030,5,2,2,0.0
579,AT_Coal,2030,5,3,3,0.0
580,AT_Coal,2030,5,4,4,0.0
581,AT_Coal,2030,5,5,5,0.0
582,AT_Coal,2030,5,6,6,0.0
583,AT_Coal,2030,5,7,7,0.0
584,AT_Coal,2030,5,8,8,0.0
585,AT_Coal,2030,5,9,9,0.0
586,AT_Coal,2030,5,10,10,0.0
587,AT_Coal,2030,5,11,11,0.0
588,AT_Coal,2030,5,12,12,0.0
589,AT_Coal,2030,5,13,13,0.0
590,AT_Coal,2030,5,14,14,0.0
591,AT_Coal,2030,5,15,15,0.0
592,AT_Coal,2030,5,16,16,0.0
593,AT_Coal,2030,5,17,17,0.0
594,AT_Coal,2030,5,18,18,0.0
595,AT_Coal,2030,5,19,19,0.0
596,AT_Coal,2030,5,20,20,0.0
597,AT_Coal,2030,5,21,21,0.0
598,AT_Coal,2030,5,22,22,0.0
599,AT_Coal,2030,5,23,23,0.0
600,AT_Coal,2030,5,24,24,0.0
601,AT_Coal,2030,6,1,1,0.0
602,AT_Coal,2030,6,2,2,0.0
603,AT_Coal,2030,6,3,3,0.0
604,AT_Coal,2030,6,4,4,0.0
605,AT_Coal,2030,6,5,5,0.0
606,AT_Coal,2030,6,6,6,0.0
607,AT_Coal,2030,6,7,7,0.0
608,AT_Coal,2030,6,8,8,0.0
609,AT_Coal,2030,6,9,9,0.0
610,AT_Coal,2030,6,10,10,0.0
611,AT_Coal,2030,6,11,11,0.0
612,AT_Coal,2030,6,12,12,0.0
613,AT_Coal,2030,6,13,13,0.0
614,AT_Coal,2030,6,14,14,0.0
615,AT_Coal,2030,6,15,15,0.0
616,AT_Coal,2030,6,16,16,0.0
617,AT_Coal,2030,6,17,17,0.0
618,AT_Coal,2030,6,18,18,0.0
619,AT_Coal,2030,6,19,19,0.0
620,AT_Coal,2030,6,20,20,0.0
621,AT_Coal,2030,6,21,21,0.0
622,AT_Coal,2030,6,22,22,0.0
623,AT_Coal,2030,6,23,23,0.0
624,AT_Coal,2030,6,24,24,0.0
625,AT_Coal,2030,7,1,1,0.0
626,AT_Coal,2030,7,2,2,0.0
627,AT_Coal,2030,7,3,3,0.0
628,AT_Coal,2030,7,4,4,0.0
629,AT_Coal,2030,7,5,5,0.0
630,AT_Coal,2030,7,6,6,0.0
631,AT_Coal,2030,7,7,7,-0.5661
632,AT_Coal,2030,7,8,8,-1.2320999999999998
633,AT_Coal,2030,7,9,9,-1.2320999999999998
634,AT_Coal,2030,7,10,10,-1.2320999999999998
635,AT_Coal,2030,7,11,11,0.0
636,AT_Coal,2030,7,12,12,0.0
637,AT_Coal,2030,7,13,13,0.0
638,AT_Coal,2030,7,14,14,0.0
639,AT_Coal,2030,7,15,15,0.0
640,AT_Coal,2030,7,16,16,0.0
641,AT_Coal,2030,7,17,17,-0.5661
642,AT_Coal,2030,7,18,18,-1.2320999999999998
643,AT_Coal,2030,7,19,19,-1.2320999999999998
644,AT_Coal,2030,7,20,20,-1.2320999999999998
645,AT_Coal,2030,7,21,21,-0.5661
646,AT_Coal,2030,7,22,22,-0.5661
647,AT_Coal,2030,7,23,23,0.0
648,AT_Coal,2030,7,24,24,0.0
649,AT_Coal,2030,8,1,1,0.0
650,AT_Coal,2030,8,2,2,0.0
651,AT_Coal,2030,8,3,3,0.0
652,AT_Coal,2030,8,4,4,0.0
653,AT_Coal,2030,8,5,5,0.0
654,AT_Coal,2030,8,6,6,0.0
655,AT_Coal,2030,8,7,7,0.0
656,AT_Coal,2030,8,8,8,0.0
657,AT_Coal,2030,8,9,9,0.0
658,AT_Coal,2030,8,10,10,0.0
659,AT_Coal,2030,8,11,11,0.0
660,AT_Coal,2030,8,12,12,0.0
661,AT_Coal,2030,8,13,13,0.0
662,AT_Coal,2030,8,14,14,0.0
663,AT_Coal,2030,8,15,15,0.0
664,AT_Coal,2030,8,16,16,0.0
665,AT_Coal,2030,8,17,17,0.0
666,AT_Coal,2030,8,18,18,0.0
667,AT_Coal,2030,8,19,19,0.0
668,AT_Coal,2030,8,20,20,0.0
669,AT_Coal,2030,8,21,21,0.0
670,AT_Coal,2030,8,22,22,0.0
671,AT_Coal,2030,8,23,23,0.0
672,AT_Coal,2030,8,24,24,0.0
673,AT_Coal,2030,9,1,1,0.0
674,AT_Coal,2030,9,2,2,0.0
675,AT_Coal,2030,9,3,3,0.0
676,AT_Coal,2030,9,4,4,0.0
677,AT_Coal,2030,9,5,5,0.0
678,AT_Coal,2030,9,6,6,0.0
679,AT_Coal,2030,9,7,7,0.0
680,AT_Coal,2030,9,8,8,0.0
681,AT_Coal,2030,9,9,9,0.0
682,AT_Coal,2030,9,10,10,0.0
683,AT_Coal,2030,9,11,11,0.0
684,AT_Coal,2030,9,12,12,0.0
685,AT_Coal,2030,9,13,13,0.0
686,AT_Coal,2030,9,14,14,0.0
687,AT_Coal,2030,9,15,15,0.0
688,AT_Coal,2030,9,16,16,0.0
689,AT_Coal,2030,9,17,17,0.0
690,AT_Coal,2030,9,18,18,0.0
691,AT_Coal,2030,9,19,19,0.0
692,AT_Coal,2030,9,20,20,0.0
693,AT_Coal,2030,9,21,21,0.0
694,AT_Coal,2030,9,22,22,0.0
695,AT_Coal,2030,9,23,23,0.0
696,AT_Coal,2030,9,24,24,0.0
