id,asset,year,rep_period,time_block_start,time_block_end,dual_balance_storage_rep_period,dual_max_storage_level_rep_period_limit,dual_min_storage_level_rep_period_limit
262,FR_Battery,2030,4,13,16,-0.046000000000000006,0.0,0.0
263,FR_Battery,2030,4,17,20,-0.046,-1.3877787807814457e-17,0.0
264,FR_Battery,2030,4,21,24,-0.04600000000000001,0.0,0.0
265,FR_Battery,2030,5,1,4,-0.104,0.0,0.0
266,FR_Battery,2030,5,5,8,-0.10400000000000001,0.0,0.0
267,FR_Battery,2030,5,9,12,-0.104,0.0,0.0
268,FR_Battery,2030,5,13,16,-0.104,0.0,0.0
269,FR_Battery,2030,5,17,20,-0.10400000000000001,0.0,0.0
270,FR_Battery,2030,5,21,24,-0.10400000000000001,0.0,0.0
271,FR_Battery,2030,6,1,4,-0.036,-0.2826,0.0
272,FR_Battery,2030,6,5,8,-0.3186,0.0,0.0
273,FR_Battery,2030,6,9,12,-0.3186,0.0,0.0
274,FR_Battery,2030,6,13,16,-0.036,0.0,0.0
275,FR_Battery,2030,6,17,20,-0.036,-6.938893903907228e-18,0.0
276,FR_Battery,2030,6,21,24,-0.036000000000000004,0.0,0.0
277,FR_Battery,2030,7,1,4,-0.6549,-0.8491500000000001,0.0
278,FR_Battery,2030,7,5,8,-1.50405,-1.1488499999999993,0.0
279,FR_Battery,2030,7,9,12,-2.6528999999999994,0.0,0.0
280,FR_Battery,2030,7,13,16,-1.221,-2.819882852833169,0.0
281,FR_Battery,2030,7,17,20,-4.040882852833169,-0.455641426416582,0.0
282,FR_Battery,2030,7,21,24,-4.496524279249751,0.0,0.0
283,FR_Battery,2030,8,1,4,-0.062,0.0,0.0
284,FR_Battery,2030,8,5,8,-0.062,0.0,0.0
285,FR_Battery,2030,8,9,12,-0.062,0.0,0.0
286,FR_Battery,2030,8,13,16,-0.062,0.0,0.0
287,FR_Battery,2030,8,17,20,-0.062,0.0,0.0
288,FR_Battery,2030,8,21,24,-0.062,0.0,0.0
289,FR_Battery,2030,9,1,4,-0.086,-1.3877787807814457e-17,0.0
290,FR_Battery,2030,9,5,8,-0.08600000000000001,1.3877787807814457e-17,0.0
291,FR_Battery,2030,9,9,12,-0.086,0.0,0.0
292,FR_Battery,2030,9,13,16,-0.086,-0.6751,0.0
293,FR_Battery,2030,9,17,20,-0.7611,0.0,0.0
294,FR_Battery,2030,9,21,24,-0.7611,0.0,0.0
295,FR_Battery,2030,10,1,4,-0.8142,0.0,0.0
296,FR_Battery,2030,10,5,8,-0.8142,-1.9939414264165838,0.0
297,FR_Battery,2030,10,9,12,-2.808141426416584,0.0,0.0
298,FR_Battery,2030,10,13,16,-0.8142,0.0,0.0
299,FR_Battery,2030,10,17,20,-0.8142,0.0,0.0
300,FR_Battery,2030,10,21,24,-0.8142,0.0,0.0
301,LU_Battery,2030,1,1,4,-0.9381,-0.8108999999999998,0.0
302,LU_Battery,2030,1,5,8,-1.7489999999999999,0.0,0.0
303,LU_Battery,2030,1,9,12,-1.7489999999999999,0.0,0.0
304,LU_Battery,2030,1,13,16,-0.9381,0.0,0.0
305,LU_Battery,2030,1,17,20,-0.9381000000000002,0.0,0.0
306,LU_Battery,2030,1,21,24,-0.9381,0.0,0.0
307,LU_Battery,2030,2,1,4,-0.066,-0.5181,0.0
308,LU_Battery,2030,2,5,8,-0.5841000000000001,0.0,0.0
309,LU_Battery,2030,2,9,12,-0.5841,0.0,0.0
310,LU_Battery,2030,2,13,16,-0.5841000000000001,0.0,0.0
311,LU_Battery,2030,2,17,20,-0.5841000000000001,0.0,0.0
312,LU_Battery,2030,2,21,24,-0.5841,0.0,0.0
313,LU_Battery,2030,3,1,4,-0.058,0.0,0.0
314,LU_Battery,2030,3,5,8,-0.058,0.0,0.0
315,LU_Battery,2030,3,9,12,-0.058,0.0,0.0
316,LU_Battery,2030,3,13,16,-0.058,-0.6829499999999998,0.0
317,LU_Battery,2030,3,17,20,-0.7409499999999999,0.0,0.0
318,LU_Battery,2030,3,21,24,-0.058,0.0,0.0
319,LU_Battery,2030,4,1,4,-0.046,0.0,0.0
320,LU_Battery,2030,4,5,8,-0.046000000000000006,0.0,0.0
321,LU_Battery,2030,4,9,12,-0.046000000000000006,0.0,0.0
