id,asset,year,rep_period,time_block_start,time_block_end,dual_max_output_flows_limit_simple_method
2328,DE_Solar,2030,1,22,24,-2.8143000000000002
2329,DE_Solar,2030,2,1,3,-0.198
2330,DE_Solar,2030,2,4,6,-1.7523
2331,DE_Solar,2030,2,7,9,-1.7523
2332,DE_Solar,2030,2,10,12,-1.7523
2333,DE_Solar,2030,2,13,15,-1.7523
2334,DE_Solar,2030,2,16,18,-1.7523
2335,DE_Solar,2030,2,19,21,-1.7523
2336,DE_Solar,2030,2,22,24,-1.7523
2337,DE_Solar,2030,3,1,3,-0.17400000000000002
2338,DE_Solar,2030,3,4,6,-0.17400000000000002
2339,DE_Solar,2030,3,7,9,-0.17400000000000002
2340,DE_Solar,2030,3,10,12,-1.5399
2341,DE_Solar,2030,3,13,15,-1.5399
2342,DE_Solar,2030,3,16,18,-1.5399
2343,DE_Solar,2030,3,19,21,-1.5399
2344,DE_Solar,2030,3,22,24,-0.17400000000000002
2345,DE_Solar,2030,4,1,3,-1.2213
2346,DE_Solar,2030,4,4,6,-1.2213
2347,DE_Solar,2030,4,7,9,-1.2213
2348,DE_Solar,2030,4,10,12,-1.2213
2349,DE_Solar,2030,4,13,15,-1.2213
2350,DE_Solar,2030,4,16,18,-1.2213
2351,DE_Solar,2030,4,19,21,-1.2213
2352,DE_Solar,2030,4,22,24,-1.2213
2353,DE_Solar,2030,5,1,3,-0.312
2354,DE_Solar,2030,5,4,6,-0.312
2355,DE_Solar,2030,5,7,9,-0.312
2356,DE_Solar,2030,5,10,12,-0.312
2357,DE_Solar,2030,5,13,15,-0.312
2358,DE_Solar,2030,5,16,18,-0.312
2359,DE_Solar,2030,5,19,21,-0.312
2360,DE_Solar,2030,5,22,24,-0.312
2361,DE_Solar,2030,6,1,3,-0.9558
2362,DE_Solar,2030,6,4,6,-0.9558
2363,DE_Solar,2030,6,7,9,-0.9558
2364,DE_Solar,2030,6,10,12,-0.9558
2365,DE_Solar,2030,6,13,15,-0.9558
2366,DE_Solar,2030,6,16,18,-0.9558
2367,DE_Solar,2030,6,19,21,-0.9558
2368,DE_Solar,2030,6,22,24,-0.9558
2369,DE_Solar,2030,7,1,3,-1.9647000000000001
2370,DE_Solar,2030,7,4,6,-3.6630000000000003
2371,DE_Solar,2030,7,7,9,-5.661
2372,DE_Solar,2030,7,10,12,-3.6630000000000003
2373,DE_Solar,2030,7,13,15,-1.9647000000000001
2374,DE_Solar,2030,7,16,18,-5.661
2375,DE_Solar,2030,7,19,21,-9.032700000000004
2376,DE_Solar,2030,7,22,24,-1.9647000000000001
2377,DE_Solar,2030,8,1,3,-0.186
2378,DE_Solar,2030,8,4,6,-0.186
2379,DE_Solar,2030,8,7,9,-0.186
2380,DE_Solar,2030,8,10,12,-0.186
2381,DE_Solar,2030,8,13,15,-0.186
2382,DE_Solar,2030,8,16,18,-0.186
2383,DE_Solar,2030,8,19,21,-1.6461000000000001
2384,DE_Solar,2030,8,22,24,-0.186
2385,DE_Solar,2030,9,1,3,-0.258
2386,DE_Solar,2030,9,4,6,-0.258
2387,DE_Solar,2030,9,7,9,-2.2833
2388,DE_Solar,2030,9,10,12,-0.258
2389,DE_Solar,2030,9,13,15,-0.258
2390,DE_Solar,2030,9,16,18,-0.258
2391,DE_Solar,2030,9,19,21,-2.2833
2392,DE_Solar,2030,9,22,24,-2.2833
2393,DE_Solar,2030,10,1,3,-4.554
2394,DE_Solar,2030,10,4,6,-4.554
2395,DE_Solar,2030,10,7,9,-7.037999999999999
2396,DE_Solar,2030,10,10,12,-7.0379999999999985
2397,DE_Solar,2030,10,13,15,-4.554
2398,DE_Solar,2030,10,16,18,-7.037999999999999
2399,DE_Solar,2030,10,19,21,-7.037999999999999
2400,DE_Solar,2030,10,22,24,-4.554
2401,DE_Wind_Offshore,2030,1,1,3,-2.4804000000000004
2402,DE_Wind_Offshore,2030,1,4,6,-2.4804000000000004
2403,DE_Wind_Offshore,2030,1,7,9,-4.9131
2404,DE_Wind_Offshore,2030,1,10,12,-4.9131
2405,DE_Wind_Offshore,2030,1,13,15,-2.4804000000000004
2406,DE_Wind_Offshore,2030,1,16,18,-2.4804000000000004
2407,DE_Wind_Offshore,2030,1,19,21,-4.9131
2408,DE_Wind_Offshore,2030,1,22,24,-2.4804000000000004
2409,DE_Wind_Offshore,2030,2,1,3,0.0
2410,DE_Wind_Offshore,2030,2,4,6,-1.5444
2411,DE_Wind_Offshore,2030,2,7,9,-1.5444
2412,DE_Wind_Offshore,2030,2,10,12,-1.5444
2413,DE_Wind_Offshore,2030,2,13,15,-1.5444
2414,DE_Wind_Offshore,2030,2,16,18,-1.5444
2415,DE_Wind_Offshore,2030,2,19,21,-1.5444
2416,DE_Wind_Offshore,2030,2,22,24,-1.5444
2417,DE_Wind_Offshore,2030,3,1,3,0.0
2418,DE_Wind_Offshore,2030,3,4,6,0.0
2419,DE_Wind_Offshore,2030,3,7,9,0.0
2420,DE_Wind_Offshore,2030,3,10,12,-1.3572
2421,DE_Wind_Offshore,2030,3,13,15,-1.3572
2422,DE_Wind_Offshore,2030,3,16,18,-1.3572
2423,DE_Wind_Offshore,2030,3,19,21,-1.3572
2424,DE_Wind_Offshore,2030,3,22,24,0.0
2425,DE_Wind_Offshore,2030,4,1,3,-1.0764
2426,DE_Wind_Offshore,2030,4,4,6,-1.0764
2427,DE_Wind_Offshore,2030,4,7,9,-1.0764
2428,DE_Wind_Offshore,2030,4,10,12,-1.0764
